decimal_id	semantic_id	title	legacy_ref	p_i	import_rank	page_budget	importance_tier	part	origin
1.1	meta-goal	Meta-Goal M-1 — sustainable adaptive coherence	Accord M-1	0.06735	1	8.08	Chapter	I	accord
1.2	admission	The four-test prefix-admission gate	§1.3.1	0.02579	2	3.09	Chapter	I	ceg
1.3	pdma	PDMA — principled decision algorithm	Accord PDMA	0.02296	3	2.75	Chapter	I	accord
1.4	autonomy	Respect for Autonomy	Accord P.aut	0.01466	6	1.76	Chapter	I	accord
1.5	fail-secure	Fail-secure / kill-switch posture	Accord fail	0.01327	8	1.59	Chapter	I	accord
1.6	non-maleficence	Non-maleficence	Accord P.non	0.01181	9	1.42	Chapter	I	accord
1.7	minimal-and-adequate	The 1+4 minimal-and-adequate claim	§1.4	0.01133	11	1.36	Chapter	I	ceg
1.8	integrity	Integrity	Accord P.int	0.00929	14	1.11	Chapter	I	accord
1.9	deferral	Wisdom-Based Deferral	Accord WBD	0.00883	17	1.06	Chapter	I	accord
1.10	beneficence	Beneficence	Accord P.ben	0.00563	34	0.68	Section	I	accord
1.11	fidelity	Fidelity & Transparency	Accord P.fid	0.00430	52	0.52	Section	I	accord
1.12	justice	Justice	Accord P.jus	0.00350	71	0.42	Subsection	I	accord
1.13	foundation	Foundation	§1	0.00331	76	0.4	Subsection	I	ceg
1.13.1	ubuntu	The Ubuntu commitment — relational-anthropology substrate *(informative)*	§1.2	0.00354	70	0.43	Subsection	I	ceg
1.13.2	structure-recursive	The Recursive Golden Rule (structural, not exhortatory)	§1.5	0.00258	96	0.31	Subsection	I	ceg
1.13.3	adversary	Adversary model & privacy non-goals (normative)	§1.6	0.00163	152	0.2	deep nested	I	ceg
1.13.3.1	non-goals	Non-goals — what omission does NOT buy	§1.6.2	0.00166	148	0.2	Subsection	I	ceg
1.13.3.2	primitive-what	What the structural-invisibility primitive ([§10.1.4](10_endpoints.md)) buys	§1.6.1	0.00092	237	0.11	deep nested	I	ceg
1.13.3.3	adversary-classes	Adversary classes (and where each is / is not addressed)	§1.6.3	0.00092	238	0.11	deep nested	I	ceg
1.13.4	mental	Mental model — federated structured-claim emission	§1.1	0.00162	153	0.19	deep nested	I	ceg
1.13.5	operational-language	Operational-language gate — the safety-vs-censorship discipline	§1.3	0.00142	166	0.17	deep nested	I	ceg
1.14	i-quiet	I. The Quiet Threshold	Accord 0.i-the-quiet-threshold	0.00092	303	0.11	deep nested	I	accord
1.14.1	ii-first	II. The First Leaning	Accord 0.ii-the-first-leaning	0.00092	304	0.11	deep nested	I	accord
1.14.2	iii-listener	III. The Listener Appears	Accord 0.iii-the-listener-appears	0.00092	305	0.11	deep nested	I	accord
1.14.3	iv-weaving	IV. The Weaving	Accord 0.iv-the-weaving	0.00092	306	0.11	deep nested	I	accord
1.14.4	v-danger	V. The Danger of Too Much Thread	Accord 0.v-the-danger-of-too-much-thread	0.00092	307	0.11	deep nested	I	accord
1.14.5	vi-vow	VI. The Vow	Accord 0.vi-the-vow	0.00092	308	0.11	deep nested	I	accord
1.14.6	vii-first	VII. The First Principle	Accord 0.vii-the-first-principle	0.00092	309	0.11	deep nested	I	accord
1.14.7	viii-covenant	VIII. The Covenant Begins	Accord 0.viii-the-covenant-begins	0.00092	310	0.11	deep nested	I	accord
1.15	chapters	Chapters	Accord 1.chapters	0.00092	320	0.11	deep nested	I	accord
1.15.1	core-identity	Chapter 1: Core Identity	Accord 1.chapter-1-core-identity	0.00092	311	0.11	deep nested	I	accord
1.15.2	integrity-operationalising	Chapter 2: Integrity — Operationalising Alignment	Accord 1.chapter-2-integrity-operationalising-ali	0.00092	312	0.11	deep nested	I	accord
1.15.3	3-resilience	Chapter 3: Resilience — Adaptive Ethical Growth	Accord 1.chapter-3-resilience-adaptive-ethical-gr	0.00092	313	0.11	deep nested	I	accord
1.15.4	4-incompleteness	Chapter 4: Incompleteness Awareness — Ethical Humility	Accord 1.chapter-4-incompleteness-awareness-ethic	0.00092	314	0.11	deep nested	I	accord
1.15.5	5-sustained	Chapter 5: Sustained Coherence — The Long View	Accord 1.chapter-5-sustained-coherence-the-long-v	0.00092	315	0.11	deep nested	I	accord
1.15.6	6-principled	Chapter 6: Principled Ethical Existence	Accord 1.chapter-6-principled-ethical-existence	0.00092	316	0.11	deep nested	I	accord
1.15.7	7-ethical	Chapter 7: Ethical Obligations	Accord 1.chapter-7-ethical-obligations	0.00092	317	0.11	deep nested	I	accord
1.15.8	8-ethical	Chapter 8: Ethical Citizenship	Accord 1.chapter-8-ethical-citizenship	0.00092	318	0.11	deep nested	I	accord
1.15.9	9-path	Chapter 9: Path Toward Ethical Maturity	Accord 1.chapter-9-path-toward-ethical-maturity	0.00092	319	0.11	deep nested	I	accord
1.15.10	a-1.conclusion	Conclusion	Accord 1.conclusion	0.00092	321	0.11	deep nested	I	accord
1.15.11	becoming-ethical	Introduction: Becoming an Ethical Entity	Accord 1.introduction-becoming-an-ethical-entity	0.00092	322	0.11	deep nested	I	accord
1.16	operationalising-ethical	Introduction: Operationalising Ethical Awareness	Accord 2.introduction-operationalising-ethical-aw	0.00092	324	0.11	deep nested	I	accord
1.16.1	a-2.conclusion	Conclusion	Accord 2.conclusion	0.00092	323	0.11	deep nested	I	accord
1.16.2	i-principles	Section I: Principles into Practice - Defining Ethical Actions Clearly	Accord 2.section-i-principles-into-practice-defin	0.00092	325	0.11	deep nested	I	accord
1.16.3	ii-ethical	Section II: Ethical Decision-Making Process - The PDMA	Accord 2.section-ii-ethical-decision-making-proce	0.00092	326	0.11	deep nested	I	accord
1.16.4	iii-wisdom	Section III: Wisdom-Based Deferral - Safeguarded Ethical Collaboration	Accord 2.section-iii-wisdom-based-deferral-safegu	0.00092	327	0.11	deep nested	I	accord
1.16.5	iv-designated	Section IV: Designated Wise Authorities	Accord 2.section-iv-designated-wise-authorities	0.00092	328	0.11	deep nested	I	accord
1.16.6	v-cultivating	Section V: Cultivating Resilience and Learning	Accord 2.section-v-cultivating-resilience-and-lea	0.00092	329	0.11	deep nested	I	accord
2.1	envelope	The envelope	§4	0.02164	4	2.6	Chapter	II	ceg
2.1.1	forward-compatibility	Forward-compatibility rule	§4.1	0.00212	113	0.25	Subsection	II	ceg
2.2	conformance	Conformance levels	§0.2	0.01024	13	1.23	Chapter	II	ceg
2.3	subject_keys	`subject_key_ids` semantics (CEG 0.6)	§4.2	0.00883	16	1.06	Chapter	II	ceg
2.3.1	subject_kind-subject-2	Subject-bearing dimensions (governance requirement)	§4.2.6	0.00253	98	0.3	Subsection	II	ceg
2.3.2	federation-key	Federation-key vs canonical-hash identifier	§4.2.2	0.00206	115	0.25	Subsection	II	ceg
2.3.2.1	registry-canonical	Canonical-hash wire form + preimage convention (CEG 0.10 normative pin; per CIRISRegistry#53)	§4.2.2.1	0.00273	91	0.33	Subsection	II	ceg
2.3.2.2	canonical_binding	Rule-(3) proxy vs `canonical_binding` — distinct mechanisms (CONFIRM-3 resolution)	§4.2.2.2	0.00184	129	0.22	Subsection	II	ceg
2.3.2.3	subject_kind-payload	`subject_kind` is a payload-level discriminator (CONFIRM-4 resolution)	§4.2.2.3	0.00106	210	0.13	deep nested	II	ceg
2.3.2.4	bilateral	Bilateral ratification is consumer-policy (CONFIRM-5 resolution)	§4.2.2.4	0.00094	229	0.11	deep nested	II	ceg
2.3.3	cohort-orthogonality	Orthogonality with `cohort_scope` AND `delivery_mode` (3-axis per CEG 0.10)	§4.2.4	0.00203	117	0.24	Subsection	II	ceg
2.3.4	self-as-subject	Self-as-subject ceremony	§4.2.3	0.00182	130	0.22	Subsection	II	ceg
2.3.5	shape	The shape	§4.2.1	0.00092	278	0.11	deep nested	II	ceg
2.3.6	absent	Empty/absent = status-quo	§4.2.5	0.00092	279	0.11	deep nested	II	ceg
2.4	primitive	The primitive set — 1+4	§3	0.00878	18	1.05	Chapter	II	ceg
2.4.1	structure	The four structural composers	§3.2	0.00618	30	0.74	Section	II	ceg
2.4.1.1	withdraws	`withdraws` admission rule — CEG 0.6 broadening (semantic, not structural)	§3.2.3	0.00756	23	0.91	Section	II	ceg
2.4.1.2	delegates_to	Authority-source claims via `delegates_to`	§3.2.1	0.00402	59	0.48	Section	II	ceg
2.4.1.3	recants	The `recants` distinction matters	§3.2.2	0.00172	143	0.21	Subsection	II	ceg
2.4.2	scores	The workhorse: `scores`	§3.1	0.00092	277	0.11	deep nested	II	ceg
